EudraCT_No,Title,Phase,Objective,End_date,Sample_size,pr_endpoint,endpoint_description,Treatment,LT_followup,manual_label
2010-021850-20,estudio multica ntrico de fase 3 de retirada aleatorizada doble ciego controlado con placebo seguido de un periodo abierto de extensia³n para evaluar la eficacia la seguridad del fosfato de amifampridina fosfato de 3 4 diaminopiridina en pacientes con el sa ndrome miasta nico de lambert eaton lem phase 3 multicenter double blind placebo controlled randomized discontinuation study followed open label extension period evaluate efficacy safety amifampridine phosphate 3 4 diaminopyridine phosphate patient lambert eaton myasthenic syndrome lem,3,purpose study lm 002 evaluate efficacy safety including long term efficacy least 91 day previous amifampridine treatment safety 2 year open label long term safety amifampridine symptomatic treatment patient lem study first randomized placebo controlled clinical efficacy study amifampridine phosphate patient lem,08-Jul-16,54,change qmg score baseline day 14,qmg physician rated test including 13 assessment facial strength swallowing grip strength duration time limb maintained outstretched position fda accepted endpoint along sgi coprimary endpoint part acceptance statistical analysis plan sap study mixed effect model repeated measure mmrm used analyze component coprimary endpoint primary contrast comparison change baseline qmg score sgi score assigned amifampridine phosphate assigned placebo day 14 treatment group compared day 14 using qmg score sgi score,Amifampridine phosphate,Yes,1
2013-002856-33,phase 2 open label trial evaluate safety pharmacokinetics pharmacodynamics exploratory clinical activity aln ttrsc patient transthyretin ttr cardiac amyloidosis,2,evaluate safety tolerability multiple do aln ttrsc revusiran patient attr cardiac amyloidosis,05-Jan-15,26,safety tolerability multiple aln ttrsc revusiran patient attr cardiac amyloidosis,number patient experiencing adverse event aes serious adverse event saes study drug discontinuation due reason,Revusiran,No,0
2014-005112-42,comparative phase2 study assessing efficacy triheptanoin anaplerotic therapy huntington disease trihep 3,2,primary objective evaluate efficacy triheptanoin increasing energy response metabolic profile brain early affected hd patient captured 31 phosphorus magnetic resonance spectroscopy slowing atrophy caudate early affected hd patient measured volumetric resonance imaging,02-Jan-20,100,rate caudate atrophy 6 month,primary outcome measure rate caudate atrophy 6 month using cbsi caudate boundary shift integral,Safflower oil,No,2
2015-001870-16,open label extension study patient spinal muscular atrophy previously participated investigational study isi 396443,0,primary objective trial evaluate long term safety tolerability nusinersen isi 396443 administered intrathecal injection participant spinal muscular atrophy sma previously participated investigational study isi 396443,21-Aug-23,292,number participant treatment emergent adverse event aes serious adverse event saes,ae unfavorable unintended sign symptom disease temporally associated study use investigational drug whether considered related investigational drug sae ae view either investigator sponsor meet following criterion result death life threatening e pose risk death hospitalization prolongation result persistent significant incapacity substantial disruption normal life function result congenital anomaly birth defect offspring important event opinion investigator sponsor teae present prior first dose nusinersen first sham procedure index study subsequently worsened severity present prior first dose nusinersen first sham procedure index study subsequently appeared safety analysis set included participant enrolled received least 1 dose nusinersen underwent sham procedure cs11,Nusinersen,No,0
2012-003349-13,study nog112264 phase ii study ozanezumab gsk1223249 versus placebo treatment amyotrophic lateral sclerosis,ii,primary objective as effect ozanezumab physical function survival amyotrophic lateral sclerosis al subject treatment period 48 week function measured using amyotrophic lateral sclerosis functional rating scale â revised alsfrs r,22-Jan-15,303,joint rank score combined analysis function amyotrophic lateral sclerosis functional rating scale revised alsfrs r score 48 week overall survival,joint rank score combined assessment function survival whereby function assessed using change baseline alsfrs r total score calculate joint rank score every participant compared participant pair wise manner assigned score 1 0 1 based relative outcome joint rank score subject sum score across pair wise comparison outcome considered hierarchical manner death considered worse outcome functional decline large functional decline considered worse outcome small functional decline see description subsequent outcome measure information regarding alsfrs r questionnaire intent treat itt population comprised randomized participant received least one dose investigational product,Placebo,No,0
2015-000682-30,botulinum neurotoxin type treatment sialorrhea central nervous system disease,0,1 evaluate compare salivary composition microflora change bnt injection describing status caries periodontal health 2 evaluate bnt efficiency treatment average hard sialorrhea patient 3 evaluate bnt effect patient life quality,12-Nov-18,80,salivary flow rate,nan,Botulinum neurotoxin type A,No,0
2018-004392-12,open label extension study investigate long term safety tolerability efficacy rozanolixizumab subject chronic inflammatory demyelinating polyradiculoneuropathy cidp,0,as long term safety tolerability rozanolixizumab participant chronic inflammatory demyelinating polyradiculoneuropathy cidp,10-Nov-21,21,number participant treatment emergent adverse event teaes,adverse event ae untoward medical occurrence participant clinical investigation subject administered pharmaceutical product necessarily causal relationship treatment ae could therefore unfavorable unintended sign symptom disease temporally associated use medicinal investigational product whether related medicinal investigational product teae defined event present prior first administration investigational medicinal product imp cidp04 study unresolved event already present first administration imp cidp04 study worsened intensity following exposure treatment 8 week following last administration imp cidp04 study safety set consisted enrolled study participant administered least one dose rozanolixizumab cidp04,Rozanolixizumab,Yes,0
2013-004561-13,open label extension study as long term safety efficacy isi 420915 patient familial amyloid polyneuropathy fap,0,evaluate safety tolerability extended dosing isi 420915 subject familial amyloid polyneuropathy,07-Jan-21,135,percentage subject treatment emergent adverse event teaes,adverse event ae unfavorable unintended sign including clinically significant abnormal laboratory finding example symptom disease temporally associated study use investigational drug product whether ae considered related investigational drug product teae defined adverse event onset occurs receiving study drug sae untoward medical occurrence dose result death life threatening requires inpatient hospitalisation prolongation existing hospitalisation result persistent significant disability incapacity lead congenital anomaly birth defect important medical event teaes considered related study drug assessed investigator reported included enrolled subject received least 1 injection inotersen cs3,Inotersen,No,0
2019-001279-34,multicenter open label extension study evaluate long term safety tolerability efficacy orally administered glpg1690 subject systemic sclerosis,0,evaluate long term safety tolerability glpg1690 subject systemic sclerosis,13-Apr-21,31,number participant treatment emergent adverse event teaes serious teaes,adverse event ae untoward medical occurrence participant administered study drug necessarily causal relationship study drug treatment emergent adverse event teae ae onset date start stud drug intake later 30 day last dose study drug worsening ae start stud drug intake serious ae defined ae resulted death life threatening required hospitalization prolongation existing hospitalization resulted persistent significant disability incapacity congenital anomaly birth defect medically significant ole fa defined participant least one intake investigational product,GLPG1690,No,0
2017-000758-20,two part open label randomized phase ii iii study dinutuximab irinotecan versus irinotecan second line treatment subject relapsed refractory small cell lung cancer,iiiii,primary objective study compare overall survival subject treated dinutuximab irinotecan versus subject treated irinotecan alone second line treatment relapsed refractory small cell lung cancer sclc secondary objective study included comparison progression free survival pfs objective response rate orr complete response cr partial response pr clinical benefit rate cr pr stable disease sd subject treated dinutuximab irinotecan versus subject treated irinotecan alone comparison safety subject treated dinutuximab irinotecan versus subject treated irinotecan alone evaluation pharmacokinetics subject treated dinutuximab comparison pfs orr clinical benefit rate cbr subject treated dinutuximab irinotecan versus subject treated topotecan alone,26-Mar-20,483,overall survival itt analysis set,primary efficacy endpoint defined duration time date randomization date subject death cause primary objective study compare subject treated dinutuximab irinotecan versus subject treated irinotecan alone second line treatment relapsed refractory sclc,Unituxin,No,0
2017-002471-25,study evaluate safety tolerability pharmacokinetics pharmacodynamics ro7234292 isi 443139 huntington disease subject participated prior investigational study ro7234292 isi 443139,0,study tested safety tolerability pharmacokinetics pharmacodynamics ro7234292 administered intrathecally adult patient huntington disease,08-Oct-19,46,percentage participant treatment emergent adverse event aes,descriptive summary percentage participant treatment emergent aes,RO7234292 (RG6042),No,0
2016-001177-32,multicenter phase ii safety preliminary efficacy study 2 dose regimen hepastem patient acute chronic liver failure,ii,as safety different dose regimen hepastem cirrhotic patient presenting acute chronic liver failure aclf acute decompensation ad risk developing aclf day 28 active study period,21-Aug-20,24,adverse event reported day 28 active study period,adverse event aes assessed seriousness severity relationship hepastem hepastem administration procedure including clinically significant change clinical examination vital sign laboratory test abdominal echography doppler relationship assessed based investigator assessment addition smc sponsor pharmacovigilance line atmp guideline,No investigational medicinal product assigned in this arm,Yes,1
2014-003572-23,allogeneic stem cell transplantation cordina umbilical cord blood derived ex vivo expanded stem progenitor cell patient hemoglobinopathy,0,as acute toxicity associated infusion omidubicel formerly known cordin within 24 hour post infusion as proportion patient donor derived engraftment 42 day following transplantation,20-Nov-18,1,proportion patient donor derived engraftment,nan,CordIn,No,0
2015-001617-27,randomized double blind placebo controlled multicentre proof concept trial iva337 treatment diffuse cutaneous systemic sclerosis,0,primary objective study evaluate patient suffering diffuse cutaneous ssc dcssc effect 800mg 1200mg iva337 daily skin compared placebo modified rodnan skin score mr used determine change skin,12-Oct-18,145,absolute change mr baseline 48 week,mr validated measure skin thickness commonly used outcome measure dcssc measurement skin thickness surrogate measure disease severity mortality patient dcssc increase skin thickness associated involvment internal organ increased mortality mr calculated adding skin thickness score rated clinical physician using 0 3 scale 0 severe thickness inability pinch skin fold following 17 anatomic surface area body face anterior chest abdomen right left separately finger forearm upper arm tights lower leg dorsum hand foot,Lanifibranor,No,0
2021-000251-39,dose blind extension study double blind placebo controlled randomized withdrawal period evaluate safety explore pharmacokinetics pharmacodynamics tak 994 adult narcolepsy cataplexy narcolepsy type 1,0,purpose study evaluate safety tolerability tak 994 active drug extension period study period 8 week,03-Nov-21,26,number participant least one treatment emergent adverse event teae active drug extension period,adverse event ae defined untoward medical occurrence clinical investigation participant administered drug necessarily causal relationship treatment ae therefore unfavorable unintended sign example clinically significant abnormal laboratory finding symptom disease temporally associated use drug whether considered related drug teae defined ae onset occurs receiving study drug safety analysis set active drug extension period included participant randomized received least 1 dose study drug active drug extension period,TAK-994,No,0
2017-002153-11,long term follow nd4 lhon subject treated gs010 ocular gene therapy rescue reverse phase iii clinical trial,iii,as long term safety intravitreal gs010 administration 5 year post treatment subject treated rescue reverse study,25-May-22,62,ocular adverse event aes,number eye ocular adverse event related study treatment study procedure judged investigator reported year 2 year 5 post treatment,GS010 (rAAV2/2-ND4),No,0
2021-005464-21,diagnosing wilsona disease 64 cu pet mr pilot study,0,wish optimize diagnostic potential 64cu pet wilson disease determining optimal time point scan following tracer injection,01-Apr-23,15,liver suv 20 hour,nan,64CuCl2,No,2
2019-000599-40,phase iib double blind randomised placebo controlled multi centre confirmative three way cross study cognitive function two do kh176 subject genetically confirmed mitochondrial dna trnaleu uur 3243a g mutation,iib,evaluate effect kh176 4 week treatment period attention domain score cognitive functioning assessed visual identification test cogstate computerised cognitive testing battery,24-May-22,27,change baseline day 28 attention domain score cognitive functioning identification test idn,visual identification test idn cogstate computerized cognitive testing battery used evaluate effect kh176 4 week treatment period attention domain score cognitive functioning change baseline measured pre dose day 1 end treatment day 28 treatment period attention domain score cognitive functioning measured identification test idn measure visual attention u well validated choice reaction time paradigm playing card stimulus test playing card either red black joker subject asked whether card displayed centre screen red subject responds pressing yes key joker card red black software measure speed accuracy response,KH176,No,0
2019-002425-30,phase 3 182 week open label extension study investigate safety tolerability td 9855 treating symptomatic neurogenic orthostatic hypotension symptomatic noh subject primary autonomic failure,3,primary objective study evaluate long term safety td 9855 182 week period,12-Nov-21,110,number participant treatment emergent adverse event teaes,adverse event ae untoward medical occurrence patient clinical study participant administered pharmaceutical product necessarily causal relationship treatment teae defined ae begin date first dose study drug date last dose study drug plus number day follow period clinically significant abnormality physical neurological examination vital sign resting 12 lead electrocardiogram clinical laboratory evaluation addition incidence fall suicidal ideation suicidal behavior reported aes safety set defined enrolled participant received least 1 dose ampreloxetine study,Ampreloxetine,No,0
2015-002432-40,safety efficacy yifn treatment friedreich ataxia,0,test safety treatment gamma interferon friedreich ataxia patient administered 6 month initial dose 100 microgram three time per week first 2 week treatment final dose 200 microgram three time per week remaining 22 week treatment,17-Jul-18,12,number adverse drug reaction,sum number ae reported treated patient day different time point along study baseline treatment first 2 week treatment 100 microgram following 22 week treatment 200 microgram following 24 week follow without treatment,Imukin,No,0
2014-005413-23,phase 3 multi national double blind randomized placebo controlled stratified parallel group study evaluate safety tolerability efficacy tirasemtiv patient amyotrophic lateral sclerosis al,3,primary objective as effect tirasemtiv versus placebo respiratory function patient amyotrophic lateral sclerosis al,27-Sep-17,744,change percent predicted slow vital capacity svc baseline week 24,respiratory assessment consisted svc svc measured spirometer patient instructed take 3 5 regular breath followed deep inspiration possible followed slow steady exhalation much air volume possible patient perform least 3 svc test designated visit 2 additional svc test could performed variability first 3 test 10,Tirasemtiv,No,1
2019-003711-60,phase 2 single arm pathologist blinded study using liver biopsy specimen as copper concentration histopathologic change patient wilson disease treated alxn1840 48 week followed extension treatment period alxn1840 additional 48 week,2,main objective trial evaluate change liver copper concentration following treatment alxn1840 week 48 participant wilson disease wd,13-Jun-23,31,change baseline liver cu concentration week 48 treatment period,liver biopsy sample taken assessment liver cu concentration multiple imputation used impute missing data week 48 due reason based baseline value full analysis set treatment period included participant received least 1 dose study drug treatment period least baseline liver cu value evaluable,ALXN1840,No,2
2018-003149-41,multicenter randomized open label crossover phase 2 study evaluate safety pharmacokinetics igpro20 subcutaneous immunoglobulin hizentraa igpro10 intravenous immunoglobulin privigena adult systemic sclerosis ssc,2,purpose study investigate safety tolerability pharmacokinetics igpro20 subject diffuse cutaneous systemic sclerosis dcssc pharmacokinetic study aim evaluate relative bioavailability igpro20 characterize pharmacokinetics igpro20 igpro10 respectively subject dcssc safety tolerability pharmacokinetics igpro10 also evaluated,17-May-22,27,number subject least one adverse event ae igpro20,ae untoward medical occurrence patient clinical investigation subject administered pharmaceutical product necessarily causal relationship treatment ae unfavorable unintended sign including abnormal clinically significant laboratory finding symptom disease temporally associated use medicinal investigational product whether considered related medicinal investigational product safety analysis set included subject received least 1 infusion igpro20 igpro10 subject received igpro20 analysed,IgPro20,No,0
2014-005489-31,long term safety maintenance efficacy study jzp 110 r 2 amino 3 phenylpropylcarbamate hydrochloride treatment excessive sleepiness subject narcolepsy obstructive sleep apnea,0,evaluate safety tolerability jzp 110 administered daily 52 week do 75 150 300 mg,08-Dec-17,643,change epworth sleepiness scale e score,change e score 2 week randomized withdrawal period beginning randomized withdrawal period represents efficacy baseline negative change baseline represents improvement excessive sleepiness,JZP-110,No,0
2015-005035-41,safety efficacy thn102 sleepiness narcoleptic patient,0,determine superiority thn102 combination modafinil flecainide acetate v modafinil improving residual daytime sleepiness assessed epworth sleepiness scale e patient narcolepsy treated modafinil,28-Dec-18,51,epworth sleeping scale e,range scale 0 24 low score indicates good outcome result shown corresponding change baseline e score,THN102: 300mg/3mg,No,0
2018-000586-37,phase 2 multi center double blind randomized dose ranging placebo controlled study evaluate efficacy safety tolerability ck 2127107 patient amyotrophic lateral sclerosis al,2,as effect ck 2127107 hereafter referred reldesemtiv versus placebo respiratory function patient al,07-Mar-19,457,change baseline week 12 percent predicted slow vital capacity,slow vital capacity measured using spirometer unit liter following 3 5 breath rest patient instructed take deep inspiration possible followed maximum exhalation blowing air lung value obtained converted percent predicted value ie test result percent predicted value patient similar demographic baseline characteristic eg height age sex,Placebo for reldesemtiv,No,1
2013-003589-15,randomized double blind placebo controlled multi center study evaluate safety efficacy eculizumab subject refractory generalized myasthenia gravis gmg,0,primary objective trial as efficacy eculizumab compared placebo treatment refractory gmg based improvement myasthenia gravis specific activity daily living profile mg adl,01-Jun-16,125,myasthenia gravis activity daily living profile mg adl change baseline mg adl total score week 26 worst rank analysis covariance ancova,nan,Matched Placebo,No,0
2015-000460-34,effect acetyl dl leucine cerebellar ataxia multinational multicenter randomized double blind placebo controlled 2 way crossover phase iii trial alcat,iii,primary aim alcat trial determine efficacy symptomatic treatment acetyl dl leucine compared placebo absolute change baseline week 6 motor function assessed total score scale assessment rating ataxia sara,07-Jul-17,108,change sara total score baseline week 6 acetyl dl leucine placebo,p value mixed model repeated measure fixed effect factor variable treatment acetyl dl leucine v placebo visit treatment period treatment visit interaction random effect patient specific random intercept estimated marginal mean least square mean derived mixed model averaged level period mean absolute change baseline week 6 sara total score differ significantly acetyl dl leucine placebo mean treatment difference 0 23 point 95 ci 0 40 0 85 point p 0 48,Placebo,No,0
2014-003501-15,phase 2 study safety efficacy pharmacodynamics rta 408 treatment mitochondrial myopathy,2,primary â evaluate change peak work maximal exercise testing â evaluate safety tolerability rta 408,30-Nov-17,53,change peak workload watt kg exercise testing,cycle ergometry using stationary recumbent bike used conduct maximal exercise testing peak work defined workload patient reach maximal volition defined inability continue exercise due exhaustion change peak workload exercise testing measured baseline week 4 week 12 change baseline week 12 reported,Placebo Capsules,No,1
2014-001357-17,open label multicenter phase iiib study assessing long term efficacy safety aop2014 standard first line treatment bat patient polycythemia vera previously participated proud pv study,iiib,â as long term efficacy aop2014 bat term disease response rate patient diagnosed pv previously treated aop2014 hu proud pv study completed study â as long term efficacy including change disease burden present proud pv study patient diagnosed pv previously treated aop2014 hu proud pv study disease burden defined disease related sign clinically significant splenomegaly disease related symptom microvascular disturbance pruritus headache assessed investigator,29-Apr-21,254,complete haematologic response spleen size criterion,disease response defined haematologic response hct 45 without phlebotomy least 3 month since last phlebotomy plts 400 x 109 l wbc 10 x 109 l normal spleen size discontinued patient assumed non responder,AOP2014,No,2
2017-003951-44,prospective multicenter non comparative open label phase ii study evaluate effect daratumumab monotherapy bone parameter patient relapsed refractory multiple myeloma received least 2 prior line therapy including lenalidomide proteasome inhibitor,ii,primary objective study evaluate change bone resorption marker 4 month daratumumab monotherapy namely c telopeptide collagen type 1 ctx tartrate resistant acid phosphatase 5b tracp 5b evaluated,26-Mar-21,57,median change bone resorption marker,percent change bone resorption marker namely c telopeptide collagen type 1 ctx baseline 4 month,Daratumumab,Yes,2
2014-001356-31,open label single arm phase iii study as self administration aop2014 using pre filled pen developed treatment polycythemia vera patient,iii,as ease aop2014 self administration using dedicated questionnaire,21-Dec-15,36,evaluation ease self administration based questionnaire b,full success declared question experience technical problem pen injection withdraw pen injection complete evidenced supervising investigator answered,AOP2014,No,0
2015-001265-11,randomized double masked sham controlled pivotal clinical trial evaluate efficacy single intravitreal injection gs010 raav2 2 nd4 subject affected 6 month le leber hereditary optic neuropathy due g11778a mutation mitochondrial nadh dehydrogenase 4 gene,0,evaluate efficacy gs010 compared sham week 48 change baseline log minimal angle resolution logmar participant affected 6 month le leber hereditary optical neuropathy lhon,04-Jul-19,39,change baseline etdrs visual acuity quantitative score week 48,visual acuity derived early treatment diabetic retinopathy study etdrs chart visual acuity measured logarithm minimal angle resolution logmar derived number letter participant could read etdrs chart 1 etdrs line 5 letter 1 etdrs line 0 1 logmar lower logmar score denotes better visual acuity positive change baseline indicates worsening symptom change week 48 score baseline score,GS010 (rAAV2/2-ND4),No,0
2007-006997-27,randomized double blind placebo controlled study rad001 treatment patient subependymal giant cell astrocytomas sega associated tuberous sclerosis complex tsc due eudract system limitation ema aware data using 999 data point record accurate representation clinical trial result please use http www novctrd com ctrdweb home novfor complete trial result,0,main objective study evaluate efficacy safety everolimus treating patient subependymal giant cell astrocytomas sega associated tuberous sclerosis complex tsc,02-Oct-14,117,percentage subject best overall subependymal giant cell astrocytomas sega response,subject assessed sega response defined 50 reduction baseline sega volume sega volume sum volume target sega lesion identified baseline confirmed second scan performed approximately 12 week later unequivocal worsening non target sega lesion new sega lesion 1 cm longest diameter new worsening hydrocephalus multi phase brain mri utilised identify sega lesion sega response rate defined percentage subject whose best overall status sega response determined independent central radiology review kaplan meier estimate used determining time sega response primary analysis performed full analysis set fa population defined randomised subject involved study,Everolimus,No,2
2019-002669-37,phase 2 randomized double blind placebo controlled multi center clinical study evaluate efficacy safety oral inhalation gb002 treatment group 1 pulmonary arterial hypertension pah,2,determine effect gb002 improving pulmonary hemodynamics subject world health organization group 1 pah functional class fc ii iii,01-Nov-22,86,change baseline week 24 pulmonary vascular resistance pvr,pvr evaluated using right heart catheterization rhc intent treat itt population participant randomized,Placebo,No,2
